,Oil_Price,USD_Index,CPI,Interest_Rate,Industrial_Production,Oil_Returns,WTI,Brent,Futures,Inventory,WTI,BRENT,SP500,VIX,TNX
2010-01-31,78.40263165925678,77.840526380037,217.488,0.11,89.3426,,78.32578947368421,76.16736842105263,78.40263165925678,308210.8,72.88999938964844,71.45999908447266,1073.8699951171875,24.6200008392334,3.6089999675750732
2010-02-28,76.45263190018504,80.15578942549855,217.281,0.13,89.6779,-0.02518613566794293,76.38736842105263,73.75210526315789,76.45263190018504,315416.25,79.66000366210938,77.58999633789062,1104.489990234375,19.5,3.5950000286102295
2010-03-31,81.28999992038892,80.67130445397419,217.353,0.16,90.2928,0.061351648571720194,81.20347826086957,78.82739130434783,81.28999992038892,327313.75,83.76000213623047,82.69999694824219,1169.4300537109375,17.59000015258789,3.8329999446868896
2010-04-30,84.57523745582218,81.23285747709728,217.403,0.2,90.5991,0.03961851551978467,84.29285714285714,84.81761904761905,84.57523745582218,336243.0,86.1500015258789,87.44000244140625,1186.68994140625,22.049999237060547,3.6630001068115234
2010-05-31,74.11750144958496,85.3615005493164,217.29,0.2,91.823,-0.13198983098063308,73.7435,75.94550000000001,74.11750144958496,342737.0,73.97000122070312,74.0199966430664,1089.4100341796875,32.06999969482422,3.3010001182556152
2010-06-30,75.40454587069425,86.5750004161488,217.199,0.18,91.9928,0.017215871940509577,75.3359090909091,74.7609090909091,75.40454587069425,342680.25,75.62999725341797,75.01000213623047,1030.7099609375,34.540000915527344,2.9509999752044678
2010-07-31,76.38285754975819,83.07047562372117,217.605,0.18,92.3421,0.01289073011628849,76.31952380952382,75.58,76.38285754975819,336098.0,78.94999694824219,78.18000030517578,1101.5999755859375,23.5,2.9070000648498535
2010-08-31,76.66681705821644,82.14909120039506,217.923,0.19,92.6805,0.0037106885069876144,76.59909090909092,77.03954545454545,76.66681705821644,336686.75,71.91999816894531,74.63999938964844,1049.3299560546875,26.049999237060547,2.4769999980926514
2010-09-30,75.54857090541294,81.08333297002883,218.275,0.19,92.9537,-0.014693209220285684,75.24190476190476,77.8404761904762,75.54857090541294,337836.5,79.97000122070312,82.30999755859375,1141.199951171875,23.700000762939453,2.5169999599456787
2010-10-31,81.97476232619513,77.45999944777716,219.035,0.19,92.6903,0.08163565071974115,81.89285714285714,82.6647619047619,81.97476232619513,342646.2,81.43000030517578,83.1500015258789,1183.260009765625,21.200000762939453,2.611999988555908
