,VIX,Returns
2019-01-01,23.22,
2019-01-02,23.22,0.0
2019-01-03,25.45,0.0917017667267863
2019-01-04,21.38,-0.1742598373996326
2019-01-07,21.4,0.0009350164309066464
2019-01-08,20.47,-0.0444305223546076
2019-01-09,19.98,-0.024228626452790673
2019-01-10,19.5,-0.024317307650706357
2019-01-11,18.19,-0.06954247303967012
2019-01-14,19.07,0.04724442708229684
2019-01-15,18.6,-0.024954838893172026
2019-01-16,19.04,0.0233804486440635
2019-01-17,18.06,-0.052842481374379933
2019-01-18,17.8,-0.014501090690799844
2019-01-21,17.8,0.0
2019-01-22,20.8,0.1557545294092328
2019-01-23,19.52,-0.06351340572232586
2019-01-24,18.89,-0.032806899471528234
2019-01-25,17.42,-0.0810137100890614
2019-01-28,18.87,0.0799543879561021
2019-01-29,19.13,0.01368442407170247
2019-01-30,17.66,-0.07995558827634748
2019-01-31,16.57,-0.06370836373734234
2019-02-01,16.14,-0.02629316859666884
2019-02-04,15.73,-0.02573094577161635
2019-02-05,15.57,-0.010223731224279503
2019-02-06,15.38,-0.012278021768409008
2019-02-07,16.37,0.062382427305545586
2019-02-08,15.72,-0.04051660438198309
2019-02-11,15.97,0.01577817522586049
2019-02-12,15.43,-0.03439829585185171
2019-02-13,15.65,0.014157250611092754
2019-02-14,16.22,0.03577413170110465
2019-02-15,14.91,-0.08421291991061974
2019-02-18,14.91,0.0
2019-02-19,14.88,-0.002014099371701145
2019-02-20,14.02,-0.059533147798501836
2019-02-21,14.46,0.030901335124174777
2019-02-22,13.51,-0.06795606475851125
2019-02-25,14.85,0.09456971327660123
2019-02-26,15.17,0.021319928111732247
2019-02-27,14.7,-0.03147229957575032
2019-02-28,14.78,0.005427421735365015
2019-03-01,13.57,-0.08541344167327787
2019-03-04,14.63,0.0752127411852551
2019-03-05,14.74,0.007490671729157659
2019-03-06,15.74,0.06564035622806655
2019-03-07,16.59,0.05259486121309593
2019-03-08,16.05,-0.03309125462632822
2019-03-11,14.33,-0.11335360773594438
2019-03-12,13.77,-0.039862929099517073
2019-03-13,13.41,-0.026491615446976226
2019-03-14,13.5,0.006688988150796489
2019-03-15,12.88,-0.04701396476817609
2019-03-18,13.1,0.016936509530898255
2019-03-19,13.56,0.03451205230514368
2019-03-20,13.91,0.02548372342310198
2019-03-21,13.63,-0.02033476022691022
2019-03-22,16.48,0.18987427877288446
2019-03-25,16.33,-0.009143617498952032
2019-03-26,14.68,-0.10651788379600413
2019-03-27,15.15,0.031514508769008735
2019-03-28,14.43,-0.04869115916959869
2019-03-29,13.71,-0.051183879211556364
2019-04-01,13.4,-0.022870786617357405
2019-04-02,13.36,-0.0029895388483660483
2019-04-03,13.74,0.02804611868570375
2019-04-04,13.58,-0.011713164663653203
2019-04-05,12.82,-0.05759167063802611
2019-04-08,13.18,0.027694077581837222
2019-04-09,14.28,0.08015942783707708
2019-04-10,13.3,-0.0710959216837301
2019-04-11,13.02,-0.021277398447284965
2019-04-12,12.01,-0.08074700068853098
2019-04-15,12.32,0.025484322013481556
2019-04-16,12.18,-0.011428695823622857
2019-04-17,12.6,0.033901551675681416
2019-04-18,12.09,-0.041318149330730976
2019-04-19,12.09,0.0
2019-04-22,12.42,0.026929411878631328
2019-04-23,12.28,-0.011336153786336352
2019-04-24,13.14,0.06768909033746807
2019-04-25,13.25,0.008336539375766623
2019-04-26,12.73,-0.04003613986291601
2019-04-29,13.11,0.02941388520629319
2019-04-30,13.12,0.0007624857403343954
2019-05-01,14.8,0.1204893972541265
2019-05-02,14.42,-0.026011048913266433
2019-05-03,12.87,-0.1137171102487678
2019-05-06,15.44,0.18206252298859477
2019-05-07,19.32,0.22417928418774183
2019-05-08,19.4,0.00413223728491037
2019-05-09,19.1,-0.01558473101669809
2019-05-10,16.04,-0.17460273261421583
2019-05-13,20.55,0.24777533850387526
2019-05-14,18.06,-0.12916139295340437
2019-05-15,16.44,-0.0939821583608053
2019-05-16,15.29,-0.07251836968706304
2019-05-17,15.96,0.042886572080691826
2019-05-20,16.31,0.021692824611259754
2019-05-21,14.95,-0.08706711679622699
2019-05-22,14.75,-0.013468217050866593
2019-05-23,16.92,0.1372532713922485
2019-05-24,15.85,-0.06532685385478766
2019-05-27,15.85,0.0
2019-05-28,17.5,0.09903138060617876
2019-05-29,17.9,0.022599831917240777
2019-05-30,17.3,-0.0340942113429759
2019-05-31,18.71,0.07835163878226507
2019-06-03,18.86,0.00798513691931305
2019-06-04,16.97,-0.1055961979591765
2019-06-05,16.09,-0.05324911824184309
2019-06-06,15.93,-0.009993837082334717
2019-06-07,16.3,0.022960983890759512
2019-06-10,15.94,-0.022333434450647765
2019-06-11,15.99,0.00313185348379388
2019-06-12,15.91,-0.005015684496167357
2019-06-13,15.82,-0.005672880010187653
2019-06-14,15.28,-0.03473017860113339
2019-06-17,15.35,0.004570690294831766
2019-06-18,15.15,-0.013114942077828018
2019-06-19,14.33,-0.05564529011529768
2019-06-20,14.75,0.02888784094574829
2019-06-21,15.4,0.04312442663375462
2019-06-24,15.26,-0.009132483563272587
2019-06-25,16.28,0.0647023347180834
2019-06-26,16.21,-0.0043090248268094706
2019-06-27,15.82,-0.024353373408077007
2019-06-28,15.08,-0.04790559975969786
2019-07-01,14.06,-0.07003547619729111
2019-07-02,12.93,-0.08378369359875283
2019-07-03,12.57,-0.028237170181609997
2019-07-04,12.57,0.0
2019-07-05,13.28,0.054946121446131695
2019-07-08,13.96,0.04993695328593881
2019-07-09,14.09,0.00926922857636247
2019-07-10,13.03,-0.07821093477383509
2019-07-11,12.93,-0.007704198352987564
2019-07-12,12.39,-0.04266049714271494
2019-07-15,12.68,0.023136253368028808
2019-07-16,12.86,0.014095769800393376
2019-07-17,13.97,0.08279045445939719
2019-07-18,13.53,-0.03200273108617383
2019-07-19,14.45,0.0657849723757446
2019-07-22,13.53,-0.06578497237574447
2019-07-23,12.61,-0.07041929220586848
2019-07-24,12.07,-0.04376711486738801
2019-07-25,12.74,0.0540236150345772
2019-07-26,12.16,-0.0465947736059963
2019-07-29,12.83,0.05363430208952412
2019-07-30,13.94,0.08297622670483266
2019-07-31,16.12,0.1452983317461045
2019-08-01,17.87,0.10306259209285434
2019-08-02,17.61,-0.014656406663221957
2019-08-05,24.59,0.3338729337199865
2019-08-06,20.17,-0.19814350426198063
2019-08-07,19.49,-0.034294838446651106
2019-08-08,16.91,-0.14199635060898044
2019-08-09,17.97,0.06079853788497872
2019-08-12,21.09,0.16009529369521552
2019-08-13,17.52,-0.18545590898243783
2019-08-14,22.1,0.2322345230154619
2019-08-15,21.18,-0.04252026835044681
2019-08-16,18.47,-0.13690954596211183
2019-08-19,16.88,-0.09001830504333753
2019-08-20,17.5,0.03607139176165744
2019-08-21,15.8,-0.10219094089654719
2019-08-22,16.68,0.05420045689767944
